date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:47	556/556	---M--	200	added ('OK')	image/png	etag:%2222c-650e933f-938b2834e776140d;;;%22	https://html.xpressbuddy.com/coindox/assets/img/icon/chn_flag.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/chn_flag.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:47	476/476	---M--	200	added ('OK')	image/png	etag:%221dc-650e933f-3a87a23e692d971c;;;%22	https://html.xpressbuddy.com/coindox/assets/img/icon/rsa_flag.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/rsa_flag.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:48	779/779	---M--	200	added ('OK')	image/png	etag:%2230b-650e933f-6d7f3b897fc85388;;;%22	https://html.xpressbuddy.com/coindox/assets/img/icon/in_flag.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/in_flag.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:48	150082/150082	---M--	200	added ('OK')	image/png	etag:%2224a42-650e933f-667f917f04bf83a9;;;%22	https://html.xpressbuddy.com/coindox/assets/img/bg/blockchain_hero_bg.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/bg/blockchain_hero_bg.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:49	2488/2488	---M-Z	200	added ('OK')	image/svg+xml	etag:%229b8-650e933f-f011a2dc7e2af32d;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/sc.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/sc.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:49	3230/3230	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c9e-650e933f-91dfba0a5774398f;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/up_01.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/up_01.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:49	1440/1440	---M-Z	200	added ('OK')	image/svg+xml	etag:%225a0-650e933f-295643f0ae8f9f29;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/check_badge.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/check_badge.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:49	31110/31110	---M--	200	added ('OK')	image/png	etag:%227986-650e933f-e118f1f8e3dd2409;;;%22	https://html.xpressbuddy.com/coindox/assets/img/bg/uo_bg.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/bg/uo_bg.png	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:50	4062/4062	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fde-650e933f-7947379c2b8d434;gz%22	https://html.xpressbuddy.com/coindox/assets/img/icon/up_02.svg	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/icon/up_02.svg	(from https://html.xpressbuddy.com/coindox/index.html)
17:40:50	184988/184988	---M--	200	added ('OK')	image/png	etag:%222d29c-650e933f-4ded430a85f61256;;;%22	https://html.xpressbuddy.com/coindox/assets/img/about/about_shape1.png	C:/Users/os/Downloads/Eskills%20web/html.xpressbuddy.com/coindox/assets/img/about/about_shape1.png	(from https://html.xpressbuddy.com/coindox/index.html)
